route_link,route
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
https://www.redbus.in/bus-tickets/delhi-to-motihari,Delhi to Motihari
https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
https://www.redbus.in/bus-tickets/motihari-to-delhi,Motihari to Delhi
https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar)
https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Balmiki Nagar (bihar) to Patna (Bihar)
https://www.redbus.in/bus-tickets/patna-to-kathmandu,Patna (Bihar) to Kathmandu
https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Patna (Bihar) to Hazaribagh
https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
https://www.redbus.in/bus-tickets/patna-to-raxaul,Patna (Bihar) to Raxaul
https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu,Muzaffarpur (Bihar) to Kathmandu
https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi,Muzaffarpur (Bihar) to Ranchi
https://www.redbus.in/bus-tickets/kathmandu-to-patna,Kathmandu to Patna (Bihar)
https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur,Ranchi to Muzaffarpur (Bihar)
https://www.redbus.in/bus-tickets/motihari-to-lucknow,Motihari to Lucknow
https://www.redbus.in/bus-tickets/lucknow-to-motihari,Lucknow to Motihari
https://www.redbus.in/bus-tickets/motihari-to-kathmandu,Motihari to Kathmandu
https://www.redbus.in/bus-tickets/agra-to-motihari,Agra to Motihari
https://www.redbus.in/bus-tickets/patna-to-janakpur-nepal,Patna (Bihar) to Janakpur (Nepal)
https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Muzaffarpur (Bihar) to Hazaribagh
https://www.redbus.in/bus-tickets/purnea-to-patna,Purnea to Patna (Bihar)
https://www.redbus.in/bus-tickets/patna-to-araria,Patna (Bihar) to Araria (Bihar)
https://www.redbus.in/bus-tickets/darbhanga-to-patna,Darbhanga to Patna (Bihar)
https://www.redbus.in/bus-tickets/patna-to-saharsa,Patna (Bihar) to Saharsa
https://www.redbus.in/bus-tickets/motihari-to-agra,Motihari to Agra
https://www.redbus.in/bus-tickets/hajipur-to-kathmandu,Hajipur (Bihar) to Kathmandu
https://www.redbus.in/bus-tickets/kathmandu-to-motihari,Kathmandu to Motihari
https://www.redbus.in/bus-tickets/patna-to-forbesganj,Patna (Bihar) to Forbesganj
https://www.redbus.in/bus-tickets/ranchi-to-hajipur,Ranchi to Hajipur (Bihar)
https://www.redbus.in/bus-tickets/lucknow-to-gopalganj,Lucknow to Gopalganj (Bihar)
