route_link,route
https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,Shillong to Tura (Meghalaya)
https://www.redbus.in/bus-tickets/shillong-to-guwahati,Shillong to Guwahati
https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Tura (Meghalaya) to Shillong
https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar
https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong
https://www.redbus.in/bus-tickets/shillong-to-karimganj,Shillong to Karimganj
https://www.redbus.in/bus-tickets/shillong-to-williamnagar-meghalaya,Shillong to Williamnagar (Meghalaya)
https://www.redbus.in/bus-tickets/karimganj-to-shillong,Karimganj to Shillong
https://www.redbus.in/bus-tickets/williamnagar-meghalaya-to-shillong,Williamnagar (Meghalaya) to Shillong
https://www.redbus.in/bus-tickets/shillong-to-hailakandi,Shillong to Hailakandi
https://www.redbus.in/bus-tickets/shillong-to-ramkrishnanagar,Shillong to Ramkrishnanagar
https://www.redbus.in/bus-tickets/hailakandi-to-shillong,Hailakandi to Shillong
https://www.redbus.in/bus-tickets/ramkrishnanagar-to-shillong,Ramkrishnanagar to Shillong
https://www.redbus.in/bus-tickets/shillong-to-phulbari,Shillong to Phulbari
