route_link,route
https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi
https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala
https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
https://www.redbus.in/bus-tickets/patiala-to-delhi-airport,Patiala to Delhi Airport
https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
https://www.redbus.in/bus-tickets/delhi-airport-to-patiala,Delhi Airport to Patiala
https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
https://www.redbus.in/bus-tickets/kapurthala-to-delhi,Kapurthala to Delhi
https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
https://www.redbus.in/bus-tickets/chandigarh-to-bathinda,Chandigarh to Bathinda
https://www.redbus.in/bus-tickets/chandigarh-to-faridkot,Chandigarh to Faridkot
https://www.redbus.in/bus-tickets/chandigarh-to-patiala,Chandigarh to Patiala
